iter	Logloss
0	0.6887735367
1	0.6847266674
2	0.6808936119
3	0.6773350716
4	0.6713891029
5	0.6671375275
6	0.6621181488
7	0.6564268112
8	0.6516449928
9	0.6481767654
10	0.6438942432
11	0.6405436039
12	0.6337953091
13	0.6296765327
14	0.6267279625
15	0.6244506836
16	0.6200061798
17	0.6130984783
18	0.6080144882
19	0.6037930965
20	0.5996123791
21	0.5967136383
22	0.5918209076
23	0.587742424
24	0.5829493523
25	0.5773588657
26	0.573528862
27	0.5706798553
28	0.5673354149
29	0.5638566017
30	0.5600142479
31	0.5567243099
32	0.5516878128
33	0.5493573189
34	0.5464335918
35	0.5415407658
36	0.5379398823
37	0.5338512421
38	0.5290102005
39	0.5253805161
40	0.5196138382
41	0.5162287712
42	0.5106057167
43	0.505740881
44	0.501739502
45	0.4951070786
46	0.4914927959
47	0.4855852604
48	0.4808945656
49	0.4751564026
50	0.4696653843
51	0.4669300079
52	0.4628547192
53	0.4601071358
54	0.4560482979
55	0.4503582954
56	0.446584177
57	0.4435989857
58	0.4409608841
59	0.4371615887
60	0.4303004265
61	0.4275025845
62	0.4248188496
63	0.4207665443
64	0.4179461002
65	0.4149343491
66	0.4124132633
67	0.4097313881
68	0.4063443184
69	0.3996213675
70	0.3962069035
71	0.3923800468
72	0.3898399353
73	0.3882193089
74	0.3851365805
75	0.3807254791
76	0.3754573822
77	0.3736762524
78	0.3715367317
79	0.3691659689
80	0.3664428473
81	0.3643817425
82	0.3610609055
83	0.3590317726
84	0.3565728188
85	0.35451262
86	0.3500711203
87	0.348294735
88	0.3430044889
89	0.3400090218
90	0.3369157076
91	0.3340037346
92	0.3323144197
93	0.3300348282
94	0.3266785622
95	0.3248554707
96	0.3225276709
97	0.3188869238
98	0.3173543215
99	0.3133641243
