iter	Passed	Remaining
0	133	13263
1	134	6596
2	135	4370
3	136	3267
4	136	2601
5	137	2155
6	138	1835
7	138	1596
8	139	1410
9	140	1262
10	140	1139
11	141	1037
12	141	949
13	142	875
14	143	810
15	143	754
16	144	704
17	144	658
18	145	618
19	145	582
20	146	550
21	146	520
22	147	493
23	148	469
24	148	446
25	149	424
26	149	404
27	150	386
28	151	369
29	151	353
30	152	338
31	152	324
32	153	310
33	153	298
34	154	286
35	155	275
36	155	264
37	155	254
38	156	244
39	157	235
40	157	226
41	158	218
42	158	209
43	158	202
44	159	194
45	159	187
46	160	180
47	161	174
48	161	168
49	162	162
50	162	156
51	163	150
52	164	145
53	164	140
54	165	135
55	166	130
56	166	125
57	167	121
58	168	116
59	168	112
60	169	108
61	169	104
62	170	100
63	171	96
64	171	92
65	172	88
66	172	85
67	173	81
68	173	78
69	174	74
70	174	71
71	175	68
72	175	65
73	176	61
74	177	59
75	177	56
76	177	53
77	178	50
78	178	47
79	179	44
80	180	42
81	180	39
82	180	37
83	181	34
84	182	32
85	182	29
86	183	27
87	183	25
88	184	22
89	184	20
90	185	18
91	185	16
92	186	14
93	187	11
94	187	9
95	188	7
96	188	5
97	189	3
98	189	1
99	190	0
