method_label,classifier,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,auc_mean,auc_std,reduction_rate_mean,reduction_rate_std,runtime_selection_mean,runtime_selection_std,runtime_training_mean,runtime_training_std
ANOVA (K=10),catboost,0.8384615384615385,0.1239187290668514,0.7444444444444445,0.19876159799998133,0.8133333333333332,0.18499249234015477,0.73,0.27748873851023215,0.91625,0.06783481775607567,0.9949999999999999,0.0,0.03864070660056314,0.045631539462386475,0.3968820913993113,0.22232889544148587
ANOVA (K=10),knn,0.885897435897436,0.0725804095113752,0.821111111111111,0.12840426130385102,0.8699999999999999,0.12041594578792295,0.8099999999999999,0.2073644135332772,0.881875,0.110007102043459,0.9949999999999999,0.0,0.03864070660056314,0.045631539462386475,0.0427894988009939,0.01371441163355286
ANOVA (K=10),opf,0.7871794871794873,0.12540204902134103,0.6085714285714285,0.22981802916788804,0.8333333333333334,0.23570226039551584,0.53,0.28195744359743363,0.9012499999999999,0.06649718039135197,0.9949999999999999,0.0,0.03864070660056314,0.045631539462386475,0.08737737560004462,0.14283054902359474
ANOVA (K=10),rf,0.8384615384615385,0.1239187290668514,0.7444444444444445,0.19876159799998133,0.8133333333333332,0.18499249234015477,0.73,0.27748873851023215,0.900625,0.07882189178775147,0.9949999999999999,0.0,0.03864070660056314,0.045631539462386475,0.784531998798775,0.06276070751250153
ANOVA (K=10),svm,0.8692307692307691,0.09405836312576758,0.8044444444444444,0.14435894905699304,0.8400000000000001,0.1673320053068151,0.8099999999999999,0.2073644135332772,0.9225,0.07161638255315608,0.9949999999999999,0.0,0.03864070660056314,0.045631539462386475,0.24450485939960345,0.4209078020394438
ANOVA (K=10),xgboost,0.8205128205128205,0.13484412799976042,0.6911111111111111,0.25317733988668645,0.8099999999999999,0.2073644135332772,0.67,0.32710854467592254,0.8456250000000001,0.12150585119655756,0.9949999999999999,0.0,0.03864070660056314,0.045631539462386475,0.3681990461991518,0.18143918816199278
ANOVA (K=100),catboost,0.8538461538461538,0.070716489079598,0.7862626262626262,0.11663408526641811,0.8066666666666666,0.1422048600513436,0.8099999999999999,0.2073644135332772,0.8775000000000001,0.07188858567255307,0.95,0.0,0.005406483200931689,0.001338329683101668,1.9530542533997504,0.15086068143616388
ANOVA (K=100),knn,0.8717948717948717,0.041295188226683044,0.8192063492063492,0.05436478971073335,0.8300000000000001,0.09746794344808964,0.82,0.10368220676663858,0.86625,0.0749478985696063,0.95,0.0,0.005406483200931689,0.001338329683101668,0.187807546199474,0.021737027960359895
ANOVA (K=100),opf,0.7935897435897437,0.1270298696024016,0.6666666666666666,0.2332847374079217,0.77,0.22803508501982758,0.61,0.23822258499143187,0.8724999999999999,0.09443499748504261,0.95,0.0,0.005406483200931689,0.001338329683101668,0.027412475199525943,0.022756133253864747
ANOVA (K=100),rf,0.8538461538461538,0.070716489079598,0.7862626262626262,0.11663408526641811,0.8066666666666666,0.1422048600513436,0.8099999999999999,0.2073644135332772,0.880625,0.09541234524420834,0.95,0.0,0.005406483200931689,0.001338329683101668,0.8306795063996105,0.34950537632935236
