method_label,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,auc_mean,auc_std,reduction_rate_mean,reduction_rate_std,runtime_selection_mean,runtime_selection_std,runtime_training_mean,runtime_training_std
ANOVA (K=10),0.839957264957265,0.10916900665493788,0.7356878306878306,0.19339405344520005,0.83,0.17133686654973135,0.7133333333333333,0.2612745066325683,0.8946875,0.08476383107310367,0.995,0.0,0.03864070660056314,0.041511816950314445,0.32071414503298,0.31837745625272224
ANOVA (K=100),0.8335470085470085,0.08072471745295438,0.7493482443482443,0.14691611294650683,0.7933333333333333,0.14645229893063805,0.75,0.20299481902680214,0.869375,0.07942411255514548,0.95,0.0,0.005406483200931689,0.001217502137307538,0.5636892870665179,0.7022865648468493
ANOVA (K=20),0.8324786324786325,0.09008607966525134,0.7349062049062048,0.15387627018369335,0.8211111111111111,0.16093199185542406,0.7083333333333334,0.2177800746614351,0.8910416666666666,0.0937131153494843,0.99,0.0,0.004589851599303074,0.0012111712756490878,0.30298749833321686,0.23210636554659003
ANOVA (K=50),0.8489316239316239,0.09410103626118806,0.7750120250120249,0.1500306859620216,0.8205555555555556,0.1615112615632411,0.7716666666666666,0.19283874509339505,0.8727083333333333,0.08747279954888573,0.975,0.0,0.005681638400710653,0.0015904984597926027,0.3909772390670696,0.38729214747306795
Lasso,0.838034188034188,0.06846212901169357,0.7593386243386243,0.11979598446487122,0.8166666666666667,0.15865816648727366,0.76,0.1872670967288204,0.8901041666666667,0.08093474704633373,0.8512000000000001,0.1549135242643456,0.7809542553994107,0.1586616521175544,1.0275136846331103,2.4330816850887933
None,0.8014957264957265,0.08509967998997325,0.6858585858585858,0.16053663270146457,0.7844444444444445,0.1638809336337957,0.6649999999999999,0.2312447576293017,0.8685416666666667,0.07959155114940163,0.0,0.0,0.0001578378003614489,0.00020021463557610609,8.281460464699922,15.940660971645585
QUBO-SA (K=10),0.7405982905982906,0.14220363778234515,0.587087542087542,0.2508551154634402,0.6394444444444445,0.2653878580454588,0.5866666666666667,0.30026807945605855,0.7798958333333333,0.2056313922686674,0.995,0.0,9.347480723200714,2.4905542847482387,0.2606372282330994,0.3218177039816472
QUBO-SA (K=100),0.7237179487179488,0.13227781809968844,0.5473015873015873,0.2384867789550831,0.6509920634920635,0.279459114229005,0.5233333333333333,0.27092858625581523,0.7389583333333333,0.16144329277368324,0.9515,0.0,7.125182744399353,0.1635703515090471,0.5561986625000525,0.7136578457311162
QUBO-SA (K=20),0.7433760683760684,0.12249072165099555,0.5634920634920635,0.23451763907282086,0.6872222222222223,0.2612482317061765,0.5266666666666667,0.2833705181819602,0.7899999999999999,0.18057506617986344,0.9903,0.0002491364395612159,6.837493050000194,0.18651082000553446,0.3216042456000044,0.28734166248672843
QUBO-SA (K=50),0.7213675213675214,0.1112804486215221,0.5293650793650794,0.2582931726333314,0.576111111111111,0.27901315330827925,0.5083333333333333,0.26198293354961955,0.7526041666666666,0.13559883580190998,0.9756,0.00020341905108621201,7.099970656599908,0.12377476960788272,0.42788632886671013,0.4593463872797768
QUBO-SB (K=10),0.7081196581196582,0.14433985788425738,0.482049062049062,0.2916904290949504,0.6012698412698413,0.38320543375866684,0.45666666666666667,0.3166999377560921,0.7079166666666666,0.21726362833065802,0.9967,0.0021237572430922095,10.327291166198847,2.8929603061079545,0.2320737952667211,0.3082881088423574
QUBO-SB (K=100),0.7126068376068376,0.16210763946501291,0.4681048581048581,0.3520600472067175,0.5116666666666666,0.3727846440032069,0.4583333333333333,0.37094551447974633,0.7552083333333334,0.196376341204987,0.9632000000000001,0.029030186429610295,8.785504866199336,0.25090954507990615,0.4405644159327494,0.6159162026084444
QUBO-SB (K=20),0.8523504273504273,0.06609381450638967,0.7729365079365079,0.1237871279899961,0.8438888888888889,0.130976536559,0.7533333333333334,0.1851994885919306,0.8865625,0.0769683778971643,0.99,0.0,9.101969266599918,0.3256329096934843,0.3259879800335815,0.31131717398849146
QUBO-SB (K=50),0.7517094017094017,0.11095144845831643,0.5348581048581048,0.2774834671723229,0.67,0.3502981762164005,0.48000000000000004,0.2705677300635169,0.7432291666666667,0.21252548549844694,0.9797999999999999,0.01089099596471549,8.828988152599777,0.1298070440117409,0.39250746803324243,0.4386259522189532
RFECV,0.817948717948718,0.08149540928383589,0.7110317460317461,0.1495585563978792,0.7994444444444445,0.1446016680437045,0.6883333333333332,0.23144349624481345,0.8817708333333333,0.07965139620486926,0.44,0.3672826591661223,11.366529983999499,4.509981372519658,3.2208412253664087,7.442383469999275
