Dataset,Classifier,Method,Metric,N_Folds,Mean,Std
colon,CATBOOST,ANOVA (K=10),ACCURACY,5,0.8384615384615385,0.12391872906685139
colon,CATBOOST,ANOVA (K=10),PRECISION,5,0.8133333333333332,0.1849924923401548
colon,CATBOOST,ANOVA (K=10),RECALL,5,0.73,0.27748873851023215
colon,CATBOOST,ANOVA (K=10),F1,5,0.7444444444444444,0.19876159799998133
colon,CATBOOST,ANOVA (K=10),AUC,5,0.91625,0.06783481775607568
colon,CATBOOST,ANOVA (K=20),ACCURACY,5,0.8551282051282051,0.11427529420891978
colon,CATBOOST,ANOVA (K=20),PRECISION,5,0.8433333333333334,0.15073892072793352
colon,CATBOOST,ANOVA (K=20),RECALL,5,0.73,0.27748873851023215
colon,CATBOOST,ANOVA (K=20),F1,5,0.7611111111111111,0.19404721329525534
colon,CATBOOST,ANOVA (K=20),AUC,5,0.8925000000000001,0.0898566566816282
colon,CATBOOST,ANOVA (K=50),ACCURACY,5,0.885897435897436,0.09348870555880609
colon,CATBOOST,ANOVA (K=50),PRECISION,5,0.8400000000000001,0.1673320053068151
colon,CATBOOST,ANOVA (K=50),RECALL,5,0.86,0.12942179105544785
colon,CATBOOST,ANOVA (K=50),F1,5,0.8425396825396826,0.12236849626767007
colon,CATBOOST,ANOVA (K=50),AUC,5,0.8925000000000001,0.08424758898627306
colon,CATBOOST,ANOVA (K=100),ACCURACY,5,0.8538461538461538,0.07071648907959802
colon,CATBOOST,ANOVA (K=100),PRECISION,5,0.8066666666666666,0.1422048600513436
colon,CATBOOST,ANOVA (K=100),RECALL,5,0.8099999999999999,0.2073644135332772
colon,CATBOOST,ANOVA (K=100),F1,5,0.7862626262626262,0.11663408526641811
colon,CATBOOST,ANOVA (K=100),AUC,5,0.8775000000000001,0.07188858567255306
colon,CATBOOST,Lasso (K=58),ACCURACY,1,1.0,0.0
colon,CATBOOST,Lasso (K=58),PRECISION,1,1.0,0.0
colon,CATBOOST,Lasso (K=58),RECALL,1,1.0,0.0
colon,CATBOOST,Lasso (K=58),F1,1,1.0,0.0
colon,CATBOOST,Lasso (K=58),AUC,1,1.0,0.0
colon,CATBOOST,Lasso (K=36),ACCURACY,1,0.8461538461538461,0.0
colon,CATBOOST,Lasso (K=36),PRECISION,1,0.8,0.0
colon,CATBOOST,Lasso (K=36),RECALL,1,0.8,0.0
colon,CATBOOST,Lasso (K=36),F1,1,0.8,0.0
colon,CATBOOST,Lasso (K=36),AUC,1,0.925,0.0
colon,CATBOOST,Lasso (K=719),ACCURACY,1,0.75,0.0
colon,CATBOOST,Lasso (K=719),PRECISION,1,0.6,0.0
colon,CATBOOST,Lasso (K=719),RECALL,1,0.75,0.0
colon,CATBOOST,Lasso (K=719),F1,1,0.6666666666666666,0.0
colon,CATBOOST,Lasso (K=719),AUC,1,0.8125,0.0
colon,CATBOOST,Lasso (K=57),ACCURACY,1,0.8333333333333334,0.0
colon,CATBOOST,Lasso (K=57),PRECISION,1,1.0,0.0
colon,CATBOOST,Lasso (K=57),RECALL,1,0.5,0.0
colon,CATBOOST,Lasso (K=57),F1,1,0.6666666666666666,0.0
colon,CATBOOST,Lasso (K=57),AUC,1,0.84375,0.0
colon,CATBOOST,Lasso (K=618),ACCURACY,1,0.8333333333333334,0.0
colon,CATBOOST,Lasso (K=618),PRECISION,1,0.6666666666666666,0.0
colon,CATBOOST,Lasso (K=618),RECALL,1,1.0,0.0
colon,CATBOOST,Lasso (K=618),F1,1,0.8,0.0
colon,CATBOOST,Lasso (K=618),AUC,1,0.875,0.0
colon,CATBOOST,None,ACCURACY,5,0.8705128205128206,0.045417922010047046
colon,CATBOOST,None,PRECISION,5,0.8699999999999999,0.12041594578792293
colon,CATBOOST,None,RECALL,5,0.77,0.17888543819998318
colon,CATBOOST,None,F1,5,0.7988888888888889,0.09496588081262931
colon,CATBOOST,None,AUC,5,0.9125,0.0727527920426426
colon,CATBOOST,QUBO-SA (K=10),ACCURACY,5,0.7884615384615384,0.12908352926668118
colon,CATBOOST,QUBO-SA (K=10),PRECISION,5,0.7333333333333334,0.22110831935702666
colon,CATBOOST,QUBO-SA (K=10),RECALL,5,0.6799999999999999,0.21679483388678802
colon,CATBOOST,QUBO-SA (K=10),F1,5,0.6909523809523809,0.1800062287212108
colon,CATBOOST,QUBO-SA (K=10),AUC,5,0.8400000000000001,0.1832113704167948
colon,CATBOOST,QUBO-SA (K=20),ACCURACY,5,0.7282051282051282,0.1428063566155559
colon,CATBOOST,QUBO-SA (K=20),PRECISION,5,0.6733333333333332,0.23851391759997756
colon,CATBOOST,QUBO-SA (K=20),RECALL,5,0.52,0.2949576240750525
colon,CATBOOST,QUBO-SA (K=20),F1,5,0.5571428571428572,0.23004923503828079
colon,CATBOOST,QUBO-SA (K=20),AUC,5,0.835,0.1267533283586668
colon,CATBOOST,QUBO-SA (K=50),ACCURACY,5,0.7884615384615385,0.09593993299420367
colon,CATBOOST,QUBO-SA (K=50),PRECISION,5,0.7333333333333333,0.18066236157232332
colon,CATBOOST,QUBO-SA (K=50),RECALL,5,0.58,0.21965882636488795
colon,CATBOOST,QUBO-SA (K=50),F1,5,0.6420634920634919,0.20825584348749213
colon,CATBOOST,QUBO-SA (K=50),AUC,5,0.8225,0.1020875849454771
colon,CATBOOST,QUBO-SA (K=100),ACCURACY,5,0.7743589743589744,0.11407735244370558
colon,CATBOOST,QUBO-SA (K=100),PRECISION,5,0.7833333333333333,0.2173067468400883
colon,CATBOOST,QUBO-SA (K=100),RECALL,5,0.5,0.2761340254296815
colon,CATBOOST,QUBO-SA (K=100),F1,5,0.5792063492063491,0.24667121198647662
