Dataset,Classifier,Metric,K_Reference,Method,Mean_Rank,Std_Rank
colon,RF,F1,20,Lasso,2.65,0.9143911149563468
colon,RF,F1,20,None,3.25,1.1118053386771944
colon,RF,F1,20,RFECV,3.4,0.7745966692414834
colon,RF,F1,20,ANOVA,3.45,0.8316649966583101
colon,RF,F1,20,QUBO-SB,3.85,1.106797181058933
colon,RF,F1,20,QUBO-SA,4.4,1.776388345929897
colon,KNN,F1,20,ANOVA,2.35,1.055409346599171
colon,KNN,F1,20,QUBO-SB,3.15,1.0814085465005556
colon,KNN,F1,20,Lasso,3.2,1.1352924243950935
colon,KNN,F1,20,None,3.8,0.8232726023485646
colon,KNN,F1,20,RFECV,4.15,1.5101508386765725
colon,KNN,F1,20,QUBO-SA,4.35,1.47290340635238
colon,SVM,F1,20,ANOVA,2.9,0.8432740427115678
colon,SVM,F1,20,None,3.2,1.0055402085998904
colon,SVM,F1,20,Lasso,3.35,1.2920698295542872
colon,SVM,F1,20,RFECV,3.7,0.8563488385776752
colon,SVM,F1,20,QUBO-SB,3.9,1.5599145275730122
colon,SVM,F1,20,QUBO-SA,3.95,1.5356865999719258
colon,XGBOOST,F1,20,Lasso,2.95,0.8959786703810408
colon,XGBOOST,F1,20,RFECV,3.0,1.1785113019775793
colon,XGBOOST,F1,20,None,3.15,0.7472170590486632
colon,XGBOOST,F1,20,ANOVA,3.75,0.8249579113843054
colon,XGBOOST,F1,20,QUBO-SB,3.8,1.9177533151523367
colon,XGBOOST,F1,20,QUBO-SA,4.35,1.958599272723012
colon,CATBOOST,F1,20,None,2.75,0.7905694150420949
colon,CATBOOST,F1,20,Lasso,2.95,0.4972144630058766
colon,CATBOOST,F1,20,ANOVA,3.3,0.8563488385776752
colon,CATBOOST,F1,20,RFECV,3.3,0.8563488385776752
colon,CATBOOST,F1,20,QUBO-SB,3.95,1.2349089035228469
colon,CATBOOST,F1,20,QUBO-SA,4.75,1.3385315336840842
colon,OPF,F1,20,Lasso,2.6,1.3703203194062976
colon,OPF,F1,20,ANOVA,3.25,1.4191155304938667
colon,OPF,F1,20,RFECV,3.5,1.632993161855452
colon,OPF,F1,20,None,3.55,1.1413929112175956
colon,OPF,F1,20,QUBO-SA,3.95,1.3426756040748553
colon,OPF,F1,20,QUBO-SB,4.15,1.5994790818680105
colon,ALL_CLASSIFIERS,F1,20,Lasso,2.95,1.0484047607545863
colon,ALL_CLASSIFIERS,F1,20,ANOVA,3.1666666666666665,1.0523044392039607
colon,ALL_CLASSIFIERS,F1,20,None,3.283333333333333,0.9671146439090231
colon,ALL_CLASSIFIERS,F1,20,RFECV,3.5083333333333333,1.1878326177048748
colon,ALL_CLASSIFIERS,F1,20,QUBO-SB,3.8,1.4207899449941963
colon,ALL_CLASSIFIERS,F1,20,QUBO-SA,4.291666666666667,1.5439649230522754
