Dataset,Classifier,Metric,K_Reference,Method_A,Method_B,p_value,Significant
colon,KNN,F1,20,None,ANOVA,0.8026943230489758,False
colon,KNN,F1,20,None,RFECV,0.938967189578732,False
colon,KNN,F1,20,None,Lasso,0.20136306659540915,False
colon,KNN,F1,20,None,QUBO-SA,0.9916256577518653,False
colon,KNN,F1,20,None,QUBO-SB,0.11389055397421644,False
colon,KNN,F1,20,ANOVA,RFECV,0.9994196152859195,False
colon,KNN,F1,20,ANOVA,Lasso,0.9134102536506218,False
colon,KNN,F1,20,ANOVA,QUBO-SA,0.9845906805326936,False
colon,KNN,F1,20,ANOVA,QUBO-SB,0.8026943230489758,False
colon,KNN,F1,20,RFECV,Lasso,0.7555508726786802,False
colon,KNN,F1,20,RFECV,QUBO-SA,0.9994196152859195,False
colon,KNN,F1,20,RFECV,QUBO-SB,0.5946801480357323,False
colon,KNN,F1,20,Lasso,QUBO-SA,0.5381926756595736,False
colon,KNN,F1,20,Lasso,QUBO-SB,0.9998584169610254,False
colon,KNN,F1,20,QUBO-SA,QUBO-SB,0.3752516513416827,False
colon,ALL_CLASSIFIERS,F1,20,None,ANOVA,0.9865993309509731,False
colon,ALL_CLASSIFIERS,F1,20,None,RFECV,0.9993589406152088,False
colon,ALL_CLASSIFIERS,F1,20,None,Lasso,0.6967327448279637,False
colon,ALL_CLASSIFIERS,F1,20,None,QUBO-SA,0.32193874914348986,False
colon,ALL_CLASSIFIERS,F1,20,None,QUBO-SB,0.30299261302835956,False
colon,ALL_CLASSIFIERS,F1,20,ANOVA,RFECV,0.9996167100870054,False
colon,ALL_CLASSIFIERS,F1,20,ANOVA,Lasso,0.9687020545225152,False
colon,ALL_CLASSIFIERS,F1,20,ANOVA,QUBO-SA,0.0769318525647239,False
colon,ALL_CLASSIFIERS,F1,20,ANOVA,QUBO-SB,0.7181781817219286,False
colon,ALL_CLASSIFIERS,F1,20,RFECV,Lasso,0.8798982760878568,False
colon,ALL_CLASSIFIERS,F1,20,RFECV,QUBO-SA,0.16292717047494243,False
colon,ALL_CLASSIFIERS,F1,20,RFECV,QUBO-SB,0.5149607848774762,False
colon,ALL_CLASSIFIERS,F1,20,Lasso,QUBO-SA,0.006542333549755419,True
colon,ALL_CLASSIFIERS,F1,20,Lasso,QUBO-SB,0.9895275592303269,False
colon,ALL_CLASSIFIERS,F1,20,QUBO-SA,QUBO-SB,0.0005748830158780471,True
