Dataset,Classifier,Metric,Method_A,Method_B,N_Pairs,Mean_A,Mean_B,Delta_Mean,Statistic,p_raw,Effect_Size_r_rb,Effect_Interpretation,p_holm,Significant_Holm
colon,rf,f1,QUBO-SA (K=20),None,5,0.522063492063492,0.7277777777777776,-0.20571428571428568,2.0,0.25,-0.8,Grande,1.0,False
colon,rf,f1,QUBO-SA (K=20),ANOVA (K=20),5,0.522063492063492,0.7444444444444444,-0.2223809523809524,2.0,0.25,-0.8,Grande,1.0,False
colon,rf,f1,QUBO-SA (K=20),RFECV,5,0.522063492063492,0.7944444444444444,-0.2723809523809524,2.0,0.25,-0.8,Grande,1.0,False
colon,rf,f1,QUBO-SA (K=20),Lasso,5,0.522063492063492,0.7822222222222222,-0.26015873015873014,0.0,0.125,-1.0,Grande,1.0,False
colon,rf,f1,QUBO-SA (K=20),QUBO-SB (K=20),5,0.522063492063492,0.7722222222222221,-0.25015873015873014,2.0,0.25,-0.8,Grande,1.0,False
colon,rf,f1,QUBO-SB (K=20),None,5,0.7722222222222221,0.7277777777777776,0.04444444444444444,0.0,1.0,1.0,Grande,1.0,False
colon,rf,f1,QUBO-SB (K=20),ANOVA (K=20),5,0.7722222222222221,0.7444444444444444,0.02777777777777777,4.0,0.75,0.3333333333333333,Médio,1.0,False
colon,rf,f1,QUBO-SB (K=20),RFECV,5,0.7722222222222221,0.7944444444444444,-0.022222222222222233,0.0,1.0,-1.0,Grande,1.0,False
colon,rf,f1,QUBO-SB (K=20),Lasso,5,0.7722222222222221,0.7822222222222222,-0.010000000000000009,4.0,1.0,-0.3333333333333333,Médio,1.0,False
colon,knn,f1,QUBO-SA (K=20),None,5,0.6311111111111111,0.5436507936507936,0.08746031746031745,3.0,0.375,0.6,Grande,1.0,False
colon,knn,f1,QUBO-SA (K=20),ANOVA (K=20),5,0.6311111111111111,0.7433333333333333,-0.11222222222222226,3.0,0.375,-0.6,Grande,1.0,False
colon,knn,f1,QUBO-SA (K=20),RFECV,5,0.6311111111111111,0.6666666666666666,-0.03555555555555555,6.0,0.875,-0.2,Pequeno,1.0,False
colon,knn,f1,QUBO-SA (K=20),Lasso,5,0.6311111111111111,0.8203174603174602,-0.1892063492063492,0.0,0.125,-1.0,Grande,1.0,False
colon,knn,f1,QUBO-SA (K=20),QUBO-SB (K=20),5,0.6311111111111111,0.836984126984127,-0.2058730158730159,0.0,0.125,-1.0,Grande,1.0,False
colon,knn,f1,QUBO-SB (K=20),None,5,0.836984126984127,0.5436507936507936,0.29333333333333333,0.0,0.125,1.0,Grande,1.0,False
colon,knn,f1,QUBO-SB (K=20),ANOVA (K=20),5,0.836984126984127,0.7433333333333333,0.09365079365079362,0.0,0.25,1.0,Grande,1.0,False
colon,knn,f1,QUBO-SB (K=20),RFECV,5,0.836984126984127,0.6666666666666666,0.17031746031746034,0.0,0.25,1.0,Grande,1.0,False
colon,knn,f1,QUBO-SB (K=20),Lasso,5,0.836984126984127,0.8203174603174602,0.016666666666666673,0.0,1.0,1.0,Grande,1.0,False
colon,svm,f1,QUBO-SA (K=20),None,5,0.5644444444444444,0.8195959595959597,-0.2551515151515152,0.0,0.125,-1.0,Grande,1.0,False
colon,svm,f1,QUBO-SA (K=20),ANOVA (K=20),5,0.5644444444444444,0.7862626262626262,-0.22181818181818183,0.0,0.5,-1.0,Grande,1.0,False
colon,svm,f1,QUBO-SA (K=20),RFECV,5,0.5644444444444444,0.7977777777777778,-0.2333333333333334,0.0,0.125,-1.0,Grande,1.0,False
colon,svm,f1,QUBO-SA (K=20),Lasso,5,0.5644444444444444,0.7711111111111111,-0.2066666666666667,0.0,0.25,-1.0,Grande,1.0,False
colon,svm,f1,QUBO-SA (K=20),QUBO-SB (K=20),5,0.5644444444444444,0.8025396825396826,-0.23809523809523808,0.0,0.25,-1.0,Grande,1.0,False
colon,svm,f1,QUBO-SB (K=20),None,5,0.8025396825396826,0.8195959595959597,-0.017056277056277058,4.0,0.75,-0.3333333333333333,Médio,1.0,False
colon,svm,f1,QUBO-SB (K=20),ANOVA (K=20),5,0.8025396825396826,0.7862626262626262,0.01627705627705629,4.0,1.0,0.3333333333333333,Médio,1.0,False
colon,svm,f1,QUBO-SB (K=20),RFECV,5,0.8025396825396826,0.7977777777777778,0.004761904761904745,4.0,1.0,0.3333333333333333,Médio,1.0,False
colon,svm,f1,QUBO-SB (K=20),Lasso,5,0.8025396825396826,0.7711111111111111,0.03142857142857143,0.0,0.5,1.0,Grande,1.0,False
colon,xgboost,f1,QUBO-SA (K=20),None,5,0.518095238095238,0.6133333333333333,-0.09523809523809523,3.5,0.5,-0.5,Grande,1.0,False
colon,xgboost,f1,QUBO-SA (K=20),ANOVA (K=20),5,0.518095238095238,0.7155555555555555,-0.19746031746031747,0.0,0.25,-1.0,Grande,1.0,False
colon,xgboost,f1,QUBO-SA (K=20),RFECV,5,0.518095238095238,0.5876190476190477,-0.06952380952380954,2.0,0.25,-0.8,Grande,1.0,False
colon,xgboost,f1,QUBO-SA (K=20),Lasso,5,0.518095238095238,0.6476190476190476,-0.12952380952380954,2.0,0.25,-0.8,Grande,1.0,False
colon,xgboost,f1,QUBO-SA (K=20),QUBO-SB (K=20),5,0.518095238095238,0.6476190476190476,-0.12952380952380954,2.0,0.25,-0.8,Grande,1.0,False
colon,xgboost,f1,QUBO-SB (K=20),None,5,0.6476190476190476,0.6133333333333333,0.03428571428571432,3.0,0.5,0.6666666666666666,Grande,1.0,False
colon,xgboost,f1,QUBO-SB (K=20),ANOVA (K=20),5,0.6476190476190476,0.7155555555555555,-0.06793650793650792,3.0,0.5,-0.6666666666666666,Grande,1.0,False
colon,xgboost,f1,QUBO-SB (K=20),RFECV,5,0.6476190476190476,0.5876190476190477,0.06000000000000001,0.0,0.25,1.0,Grande,1.0,False
colon,xgboost,f1,QUBO-SB (K=20),Lasso,5,0.6476190476190476,0.6476190476190476,0.0,0.0,1.0,0.0,Negligível,1.0,False
colon,catboost,f1,QUBO-SA (K=20),None,5,0.5571428571428572,0.7988888888888889,-0.24174603174603176,0.0,0.25,-1.0,Grande,1.0,False
colon,catboost,f1,QUBO-SA (K=20),ANOVA (K=20),5,0.5571428571428572,0.7611111111111111,-0.20396825396825397,0.0,0.5,-1.0,Grande,1.0,False
colon,catboost,f1,QUBO-SA (K=20),RFECV,5,0.5571428571428572,0.7811111111111111,-0.22396825396825398,0.0,0.25,-1.0,Grande,1.0,False
colon,catboost,f1,QUBO-SA (K=20),Lasso,5,0.5571428571428572,0.7866666666666667,-0.22952380952380955,2.0,0.25,-0.8,Grande,1.0,False
colon,catboost,f1,QUBO-SA (K=20),QUBO-SB (K=20),5,0.5571428571428572,0.8325396825396826,-0.2753968253968254,0.0,0.125,-1.0,Grande,1.0,False
colon,catboost,f1,QUBO-SB (K=20),None,5,0.8325396825396826,0.7988888888888889,0.03365079365079364,4.0,0.75,0.3333333333333333,Médio,1.0,False
